id	English	मराठी	ಕನ್ನಡ
component.ACTIONS	Actions	क्रिया	ಕ್ರಿಯೆಗಳು
component.ADD_BUSINESS_CUSTOMER	Add Business Customer	व्यवसाय ग्राहक जोडा	ವ್ಯಾಪಾರ ಗ್ರಾಹಕರನ್ನು ಸೇರಿಸಿ
component.ADD_CUSTOMER	Add Customer	ग्राहक जोडा	ಗ್ರಾಹಕರನ್ನು ಸೇರಿಸಿ
component.ADD_INDIVIDUAL_CUSTOMER	Add Individual Customer	वैयक्तिक ग्राहक जोडा	ವೈಯಕ್ತಿಕ ಗ್ರಾಹಕರನ್ನು ಸೇರಿಸಿ
component.ADDITIONAL_MOBILES	Additional Mobiles	अतिरिक्त मोबाईल	ಹೆಚ್ಚುವರಿ ಮೊಬೈಲ್‌ಗಳು
component.ADDRESS	Address	पत्ता	ವಿಳಾಸ
component.ADDRESS_LINE1	Address Line1	पत्ता ओळ 1	ವಿಳಾಸ ಸಾಲು 1
component.ADDRESS_LINE2	Address Line2	पत्ता ओळ 2	ವಿಳಾಸ ಸಾಲು 2
component.ADDRESS_LINE3	Address Line3	पत्ता ओळ 3	ವಿಳಾಸ 3
component.ADDRESS_TYPE	Address Type	पत्त्याचा प्रकार	ವಿಳಾಸದ ವಿಧ
component.ADDRESSES	Addresses	पत्ते	ವಿಳಾಸಗಳು
component.ADMIN_CONSOLE	Admin Console	प्रशासन कन्सोल	ನಿರ್ವಹಣೆ ಕನ್ಸೋಲ್
component.ALTERNATE_MOBILE	Alternate Mobile	वैकल्पिक मोबाइल	ಪರ್ಯಾಯ ಮೊಬೈಲ್
component.ANNUAL	Annual	वार्षिक	ವಾರ್ಷಿಕ
component.ANNUALIZED_PREMIUM_EARNED	Annualized Premium Earned	मिळविलेले वार्षिक प्रीमियम (ए पी ई)	ವಾರ್ಷಿಕ ಪ್ರೀಮಿಯಂ ಗಳಿಸಲಾಗಿದೆ
